year,co2
2015,399.76
2016,402.77
2017,405.59
2018,408.40
2019,411.55
2020,414.69
2021,417.87
2022,421.09
2023,424.39
2024,427.88
2025,431.49
2026,435.32
2027,439.02
2028,442.99
2029,447.28
2030,451.26
2031,455.39
2032,459.70
2033,464.26
2034,469.00
2035,473.70
2036,478.93
2037,483.63
2038,488.94
2039,494.13
2040,499.63
2041,505.27
2042,510.88
2043,516.81
2044,522.88
2045,528.83
2046,535.33
2047,542.20
2048,548.48
2049,555.34
2050,562.25
2051,569.44
2052,576.68
2053,584.02
2054,590.59
2055,599.42
2056,608.09
2057,616.73
2058,625.26
2059,633.37
2060,642.24
2061,651.30
2062,661.49
2063,669.68
2064,679.85
2065,690.09
2066,699.42
2067,710.46
2068,720.71
2069,731.96
2070,742.82
2071,753.35
2072,764.93
2073,777.09
2074,788.75
2075,800.80
2076,812.85
2077,825.35
2078,837.49
2079,850.55
2080,863.48
2081,876.41
2082,887.61
2083,902.90
2084,916.43
2085,929.60
2086,943.27
2087,956.24
2088,970.07
2089,983.77
2090,997.28
2091,1010.85
2092,1024.55
2093,1036.11
2094,1052.93
2095,1065.67
2096,1079.65
2097,1093.35
2098,1107.00
2099,1120.15
2100,1134.32
